	img	cm	label
CN79_D1_6.84x23.02	../dataset/tile\CN79_D1\CN79_D1-6.84-23.02.jpeg	CN79_D1_6.84x23.02	p30
CN79_D1_6.96x23.92	../dataset/tile\CN79_D1\CN79_D1-6.96-23.92.jpeg	CN79_D1_6.96x23.92	p30
CN79_D1_6.98x21.94	../dataset/tile\CN79_D1\CN79_D1-6.98-21.94.jpeg	CN79_D1_6.98x21.94	p30
CN79_D1_7x24.98	../dataset/tile\CN79_D1\CN79_D1-7-24.98.jpeg	CN79_D1_7x24.98	p30
CN79_D1_7.89x21.95	../dataset/tile\CN79_D1\CN79_D1-7.89-21.95.jpeg	CN79_D1_7.89x21.95	p30
CN79_D1_9.02x22.92	../dataset/tile\CN79_D1\CN79_D1-9.02-22.92.jpeg	CN79_D1_9.02x22.92	p30
CN79_D1_9.06x20.9	../dataset/tile\CN79_D1\CN79_D1-9.06-20.9.jpeg	CN79_D1_9.06x20.9	p30
CN79_D1_9.07x24.93	../dataset/tile\CN79_D1\CN79_D1-9.07-24.93.jpeg	CN79_D1_9.07x24.93	p30
CN79_D1_9.07x25.98	../dataset/tile\CN79_D1\CN79_D1-9.07-25.98.jpeg	CN79_D1_9.07x25.98	p30
CN79_D1_9.89x20.88	../dataset/tile\CN79_D1\CN79_D1-9.89-20.88.jpeg	CN79_D1_9.89x20.88	p30
CN79_D1_9.89x23.94	../dataset/tile\CN79_D1\CN79_D1-9.89-23.94.jpeg	CN79_D1_9.89x23.94	p30
CN79_D1_9.93x26.93	../dataset/tile\CN79_D1\CN79_D1-9.93-26.93.jpeg	CN79_D1_9.93x26.93	p30
CN79_D1_9.94x21.94	../dataset/tile\CN79_D1\CN79_D1-9.94-21.94.jpeg	CN79_D1_9.94x21.94	p30
CN79_D1_9.95x25.93	../dataset/tile\CN79_D1\CN79_D1-9.95-25.93.jpeg	CN79_D1_9.95x25.93	p30
CN79_D1_9.95x29.95	../dataset/tile\CN79_D1\CN79_D1-9.95-29.95.jpeg	CN79_D1_9.95x29.95	p30
CN79_D1_9.96x27.93	../dataset/tile\CN79_D1\CN79_D1-9.96-27.93.jpeg	CN79_D1_9.96x27.93	p30
CN79_D1_9.96x28.94	../dataset/tile\CN79_D1\CN79_D1-9.96-28.94.jpeg	CN79_D1_9.96x28.94	p30
CN79_D1_9.98x22.85	../dataset/tile\CN79_D1\CN79_D1-9.98-22.85.jpeg	CN79_D1_9.98x22.85	p30
CN80_E1_10.88x24.85	../dataset/tile\CN80_E1\CN80_E1-10.88-24.85.jpeg	CN80_E1_10.88x24.85	p30
CN80_E1_10.88x6.93	../dataset/tile\CN80_E1\CN80_E1-10.88-6.93.jpeg	CN80_E1_10.88x6.93	p30
CN80_E1_10.9x25.79	../dataset/tile\CN80_E1\CN80_E1-10.9-25.79.jpeg	CN80_E1_10.9x25.79	p30
CN80_E1_10.9x5.99	../dataset/tile\CN80_E1\CN80_E1-10.9-5.99.jpeg	CN80_E1_10.9x5.99	p30
CN80_E1_10.91x26.84	../dataset/tile\CN80_E1\CN80_E1-10.91-26.84.jpeg	CN80_E1_10.91x26.84	p30
CN80_E1_10.91x3.99	../dataset/tile\CN80_E1\CN80_E1-10.91-3.99.jpeg	CN80_E1_10.91x3.99	p30
CN80_E1_10.92x2.96	../dataset/tile\CN80_E1\CN80_E1-10.92-2.96.jpeg	CN80_E1_10.92x2.96	p30
CN80_E1_10.92x23.83	../dataset/tile\CN80_E1\CN80_E1-10.92-23.83.jpeg	CN80_E1_10.92x23.83	p30
CN80_E1_10.92x28.8	../dataset/tile\CN80_E1\CN80_E1-10.92-28.8.jpeg	CN80_E1_10.92x28.8	p30
CN80_E1_10.92x4.97	../dataset/tile\CN80_E1\CN80_E1-10.92-4.97.jpeg	CN80_E1_10.92x4.97	p30
CN80_E1_10.92x7.89	../dataset/tile\CN80_E1\CN80_E1-10.92-7.89.jpeg	CN80_E1_10.92x7.89	p30
CN80_E1_10.93x1.98	../dataset/tile\CN80_E1\CN80_E1-10.93-1.98.jpeg	CN80_E1_10.93x1.98	p30
CN80_E1_10.93x22.84	../dataset/tile\CN80_E1\CN80_E1-10.93-22.84.jpeg	CN80_E1_10.93x22.84	p30
CN80_E1_10.93x27.83	../dataset/tile\CN80_E1\CN80_E1-10.93-27.83.jpeg	CN80_E1_10.93x27.83	p30
CN80_E1_11.98x4.08	../dataset/tile\CN80_E1\CN80_E1-11.98-4.08.jpeg	CN80_E1_11.98x4.08	p30
CN80_E1_11.99x2.05	../dataset/tile\CN80_E1\CN80_E1-11.99-2.05.jpeg	CN80_E1_11.99x2.05	p30
CN80_E1_11.99x6.03	../dataset/tile\CN80_E1\CN80_E1-11.99-6.03.jpeg	CN80_E1_11.99x6.03	p30
CN80_E1_12x25.92	../dataset/tile\CN80_E1\CN80_E1-12-25.92.jpeg	CN80_E1_12x25.92	p30
CN80_E1_12x26.91	../dataset/tile\CN80_E1\CN80_E1-12-26.91.jpeg	CN80_E1_12x26.91	p30
CN80_E1_12x27.92	../dataset/tile\CN80_E1\CN80_E1-12-27.92.jpeg	CN80_E1_12x27.92	p30
CN80_E1_12x3.05	../dataset/tile\CN80_E1\CN80_E1-12-3.05.jpeg	CN80_E1_12x3.05	p30
CN80_E1_12.01x23.93	../dataset/tile\CN80_E1\CN80_E1-12.01-23.93.jpeg	CN80_E1_12.01x23.93	p30
CN80_E1_12.02x22.91	../dataset/tile\CN80_E1\CN80_E1-12.02-22.91.jpeg	CN80_E1_12.02x22.91	p30
CN80_E1_12.02x24.9	../dataset/tile\CN80_E1\CN80_E1-12.02-24.9.jpeg	CN80_E1_12.02x24.9	p30
CN80_E1_12.03x5.05	../dataset/tile\CN80_E1\CN80_E1-12.03-5.05.jpeg	CN80_E1_12.03x5.05	p30
CN80_E1_12.14x6.92	../dataset/tile\CN80_E1\CN80_E1-12.14-6.92.jpeg	CN80_E1_12.14x6.92	p30
CN80_E1_12.96x5.07	../dataset/tile\CN80_E1\CN80_E1-12.96-5.07.jpeg	CN80_E1_12.96x5.07	p30
CN80_E1_12.97x4.07	../dataset/tile\CN80_E1\CN80_E1-12.97-4.07.jpeg	CN80_E1_12.97x4.07	p30
CN80_E1_12.98x3.03	../dataset/tile\CN80_E1\CN80_E1-12.98-3.03.jpeg	CN80_E1_12.98x3.03	p30
CN80_E1_12.99x26.92	../dataset/tile\CN80_E1\CN80_E1-12.99-26.92.jpeg	CN80_E1_12.99x26.92	p30
CN80_E1_13x23.92	../dataset/tile\CN80_E1\CN80_E1-13-23.92.jpeg	CN80_E1_13x23.92	p30
CN80_E1_13.01x25.92	../dataset/tile\CN80_E1\CN80_E1-13.01-25.92.jpeg	CN80_E1_13.01x25.92	p30
CN80_E1_13.02x24.9	../dataset/tile\CN80_E1\CN80_E1-13.02-24.9.jpeg	CN80_E1_13.02x24.9	p30
CN80_E1_20.02x23.86	../dataset/tile\CN80_E1\CN80_E1-20.02-23.86.jpeg	CN80_E1_20.02x23.86	p30
CN80_E1_20.02x24.87	../dataset/tile\CN80_E1\CN80_E1-20.02-24.87.jpeg	CN80_E1_20.02x24.87	p30
CN80_E1_20.89x23.86	../dataset/tile\CN80_E1\CN80_E1-20.89-23.86.jpeg	CN80_E1_20.89x23.86	p30
CN80_E1_20.9x21.84	../dataset/tile\CN80_E1\CN80_E1-20.9-21.84.jpeg	CN80_E1_20.9x21.84	p30
CN80_E1_20.91x22.85	../dataset/tile\CN80_E1\CN80_E1-20.91-22.85.jpeg	CN80_E1_20.91x22.85	p30
CN80_E1_20.91x24.83	../dataset/tile\CN80_E1\CN80_E1-20.91-24.83.jpeg	CN80_E1_20.91x24.83	p30
CN80_E1_20.91x25.85	../dataset/tile\CN80_E1\CN80_E1-20.91-25.85.jpeg	CN80_E1_20.91x25.85	p30
CN80_E1_20.92x20.88	../dataset/tile\CN80_E1\CN80_E1-20.92-20.88.jpeg	CN80_E1_20.92x20.88	p30
CN80_E1_21.89x25.83	../dataset/tile\CN80_E1\CN80_E1-21.89-25.83.jpeg	CN80_E1_21.89x25.83	p30
CN80_E1_21.9x20.83	../dataset/tile\CN80_E1\CN80_E1-21.9-20.83.jpeg	CN80_E1_21.9x20.83	p30
CN80_E1_21.9x24.79	../dataset/tile\CN80_E1\CN80_E1-21.9-24.79.jpeg	CN80_E1_21.9x24.79	p30
CN80_E1_21.93x22.81	../dataset/tile\CN80_E1\CN80_E1-21.93-22.81.jpeg	CN80_E1_21.93x22.81	p30
CN80_E1_21.93x26.8	../dataset/tile\CN80_E1\CN80_E1-21.93-26.8.jpeg	CN80_E1_21.93x26.8	p30
CN80_E1_21.95x21.82	../dataset/tile\CN80_E1\CN80_E1-21.95-21.82.jpeg	CN80_E1_21.95x21.82	p30
CN80_E1_21.97x23.82	../dataset/tile\CN80_E1\CN80_E1-21.97-23.82.jpeg	CN80_E1_21.97x23.82	p30
CN80_E1_22.95x4.11	../dataset/tile\CN80_E1\CN80_E1-22.95-4.11.jpeg	CN80_E1_22.95x4.11	p30
CN80_E1_22.96x2.05	../dataset/tile\CN80_E1\CN80_E1-22.96-2.05.jpeg	CN80_E1_22.96x2.05	p30
CN80_E1_22.99x3.06	../dataset/tile\CN80_E1\CN80_E1-22.99-3.06.jpeg	CN80_E1_22.99x3.06	p30
CN80_E1_22.99x5.15	../dataset/tile\CN80_E1\CN80_E1-22.99-5.15.jpeg	CN80_E1_22.99x5.15	p30
CN80_E1_23x21.92	../dataset/tile\CN80_E1\CN80_E1-23-21.92.jpeg	CN80_E1_23x21.92	p30
CN80_E1_23.02x20.91	../dataset/tile\CN80_E1\CN80_E1-23.02-20.91.jpeg	CN80_E1_23.02x20.91	p30
CN80_E1_23.03x22.91	../dataset/tile\CN80_E1\CN80_E1-23.03-22.91.jpeg	CN80_E1_23.03x22.91	p30
CN80_E1_23.03x25.9	../dataset/tile\CN80_E1\CN80_E1-23.03-25.9.jpeg	CN80_E1_23.03x25.9	p30
CN80_E1_23.04x24.9	../dataset/tile\CN80_E1\CN80_E1-23.04-24.9.jpeg	CN80_E1_23.04x24.9	p30
CN80_E1_23.05x23.91	../dataset/tile\CN80_E1\CN80_E1-23.05-23.91.jpeg	CN80_E1_23.05x23.91	p30
CN80_E1_23.93x3.09	../dataset/tile\CN80_E1\CN80_E1-23.93-3.09.jpeg	CN80_E1_23.93x3.09	p30
CN80_E1_23.94x4.08	../dataset/tile\CN80_E1\CN80_E1-23.94-4.08.jpeg	CN80_E1_23.94x4.08	p30
CN80_E1_23.94x5.1	../dataset/tile\CN80_E1\CN80_E1-23.94-5.1.jpeg	CN80_E1_23.94x5.1	p30
CN80_E1_23.95x2.07	../dataset/tile\CN80_E1\CN80_E1-23.95-2.07.jpeg	CN80_E1_23.95x2.07	p30
CN80_E1_23.99x25.85	../dataset/tile\CN80_E1\CN80_E1-23.99-25.85.jpeg	CN80_E1_23.99x25.85	p30
CN80_E1_24x19.91	../dataset/tile\CN80_E1\CN80_E1-24-19.91.jpeg	CN80_E1_24x19.91	p30
CN80_E1_24x20.88	../dataset/tile\CN80_E1\CN80_E1-24-20.88.jpeg	CN80_E1_24x20.88	p30
CN80_E1_24x24.89	../dataset/tile\CN80_E1\CN80_E1-24-24.89.jpeg	CN80_E1_24x24.89	p30
CN80_E1_24.01x22.91	../dataset/tile\CN80_E1\CN80_E1-24.01-22.91.jpeg	CN80_E1_24.01x22.91	p30
CN80_E1_24.03x23.88	../dataset/tile\CN80_E1\CN80_E1-24.03-23.88.jpeg	CN80_E1_24.03x23.88	p30
CN80_E1_24.92x6.06	../dataset/tile\CN80_E1\CN80_E1-24.92-6.06.jpeg	CN80_E1_24.92x6.06	p30
CN80_E1_24.93x2.08	../dataset/tile\CN80_E1\CN80_E1-24.93-2.08.jpeg	CN80_E1_24.93x2.08	p30
CN80_E1_24.93x3.09	../dataset/tile\CN80_E1\CN80_E1-24.93-3.09.jpeg	CN80_E1_24.93x3.09	p30
CN80_E1_24.94x4.09	../dataset/tile\CN80_E1\CN80_E1-24.94-4.09.jpeg	CN80_E1_24.94x4.09	p30
CN80_E1_24.94x5.08	../dataset/tile\CN80_E1\CN80_E1-24.94-5.08.jpeg	CN80_E1_24.94x5.08	p30
CN80_E1_24.96x23.9	../dataset/tile\CN80_E1\CN80_E1-24.96-23.9.jpeg	CN80_E1_24.96x23.9	p30
CN80_E1_24.97x20.9	../dataset/tile\CN80_E1\CN80_E1-24.97-20.9.jpeg	CN80_E1_24.97x20.9	p30
CN80_E1_24.98x24.88	../dataset/tile\CN80_E1\CN80_E1-24.98-24.88.jpeg	CN80_E1_24.98x24.88	p30
CN80_E1_24.99x19.92	../dataset/tile\CN80_E1\CN80_E1-24.99-19.92.jpeg	CN80_E1_24.99x19.92	p30
CN80_E1_25x22.89	../dataset/tile\CN80_E1\CN80_E1-25-22.89.jpeg	CN80_E1_25x22.89	p30
CN80_E1_25.09x21.92	../dataset/tile\CN80_E1\CN80_E1-25.09-21.92.jpeg	CN80_E1_25.09x21.92	p30
CN80_E1_25.87x22.91	../dataset/tile\CN80_E1\CN80_E1-25.87-22.91.jpeg	CN80_E1_25.87x22.91	p30
CN80_E1_25.87x5.06	../dataset/tile\CN80_E1\CN80_E1-25.87-5.06.jpeg	CN80_E1_25.87x5.06	p30
CN80_E1_25.89x2.07	../dataset/tile\CN80_E1\CN80_E1-25.89-2.07.jpeg	CN80_E1_25.89x2.07	p30
CN80_E1_25.89x4.09	../dataset/tile\CN80_E1\CN80_E1-25.89-4.09.jpeg	CN80_E1_25.89x4.09	p30
CN80_E1_25.9x3.1	../dataset/tile\CN80_E1\CN80_E1-25.9-3.1.jpeg	CN80_E1_25.9x3.1	p30
CN80_E1_25.9x6.08	../dataset/tile\CN80_E1\CN80_E1-25.9-6.08.jpeg	CN80_E1_25.9x6.08	p30
CN80_E1_25.91x19.92	../dataset/tile\CN80_E1\CN80_E1-25.91-19.92.jpeg	CN80_E1_25.91x19.92	p30
CN80_E1_25.91x21.87	../dataset/tile\CN80_E1\CN80_E1-25.91-21.87.jpeg	CN80_E1_25.91x21.87	p30
CN80_E1_25.91x23.86	../dataset/tile\CN80_E1\CN80_E1-25.91-23.86.jpeg	CN80_E1_25.91x23.86	p30
CN80_E1_25.91x24.9	../dataset/tile\CN80_E1\CN80_E1-25.91-24.9.jpeg	CN80_E1_25.91x24.9	p30
CN80_E1_25.92x20.91	../dataset/tile\CN80_E1\CN80_E1-25.92-20.91.jpeg	CN80_E1_25.92x20.91	p30
CN80_E1_26.9x2.02	../dataset/tile\CN80_E1\CN80_E1-26.9-2.02.jpeg	CN80_E1_26.9x2.02	p30
CN80_E1_26.9x5.06	../dataset/tile\CN80_E1\CN80_E1-26.9-5.06.jpeg	CN80_E1_26.9x5.06	p30
CN80_E1_26.91x4.07	../dataset/tile\CN80_E1\CN80_E1-26.91-4.07.jpeg	CN80_E1_26.91x4.07	p30
CN80_E1_26.91x6.06	../dataset/tile\CN80_E1\CN80_E1-26.91-6.06.jpeg	CN80_E1_26.91x6.06	p30
CN80_E1_26.92x3.07	../dataset/tile\CN80_E1\CN80_E1-26.92-3.07.jpeg	CN80_E1_26.92x3.07	p30
CN80_E1_26.96x19.88	../dataset/tile\CN80_E1\CN80_E1-26.96-19.88.jpeg	CN80_E1_26.96x19.88	p30
CN80_E1_26.96x23.85	../dataset/tile\CN80_E1\CN80_E1-26.96-23.85.jpeg	CN80_E1_26.96x23.85	p30
CN80_E1_26.97x21.84	../dataset/tile\CN80_E1\CN80_E1-26.97-21.84.jpeg	CN80_E1_26.97x21.84	p30
CN80_E1_26.97x24.86	../dataset/tile\CN80_E1\CN80_E1-26.97-24.86.jpeg	CN80_E1_26.97x24.86	p30
CN80_E1_26.98x20.88	../dataset/tile\CN80_E1\CN80_E1-26.98-20.88.jpeg	CN80_E1_26.98x20.88	p30
CN80_E1_26.99x22.86	../dataset/tile\CN80_E1\CN80_E1-26.99-22.86.jpeg	CN80_E1_26.99x22.86	p30
CN80_E1_27.87x2.05	../dataset/tile\CN80_E1\CN80_E1-27.87-2.05.jpeg	CN80_E1_27.87x2.05	p30
CN80_E1_27.87x5.09	../dataset/tile\CN80_E1\CN80_E1-27.87-5.09.jpeg	CN80_E1_27.87x5.09	p30
CN80_E1_27.89x3.09	../dataset/tile\CN80_E1\CN80_E1-27.89-3.09.jpeg	CN80_E1_27.89x3.09	p30
CN80_E1_27.9x4.08	../dataset/tile\CN80_E1\CN80_E1-27.9-4.08.jpeg	CN80_E1_27.9x4.08	p30
CN80_E1_27.91x20.87	../dataset/tile\CN80_E1\CN80_E1-27.91-20.87.jpeg	CN80_E1_27.91x20.87	p30
CN80_E1_27.92x19.89	../dataset/tile\CN80_E1\CN80_E1-27.92-19.89.jpeg	CN80_E1_27.92x19.89	p30
CN80_E1_27.92x21.85	../dataset/tile\CN80_E1\CN80_E1-27.92-21.85.jpeg	CN80_E1_27.92x21.85	p30
CN80_E1_27.93x22.88	../dataset/tile\CN80_E1\CN80_E1-27.93-22.88.jpeg	CN80_E1_27.93x22.88	p30
CN80_E1_27.93x23.88	../dataset/tile\CN80_E1\CN80_E1-27.93-23.88.jpeg	CN80_E1_27.93x23.88	p30
CN80_E1_27.93x24.86	../dataset/tile\CN80_E1\CN80_E1-27.93-24.86.jpeg	CN80_E1_27.93x24.86	p30
CN80_E1_28.89x3.05	../dataset/tile\CN80_E1\CN80_E1-28.89-3.05.jpeg	CN80_E1_28.89x3.05	p30
CN80_E1_28.9x2.04	../dataset/tile\CN80_E1\CN80_E1-28.9-2.04.jpeg	CN80_E1_28.9x2.04	p30
CN80_E1_28.9x4.08	../dataset/tile\CN80_E1\CN80_E1-28.9-4.08.jpeg	CN80_E1_28.9x4.08	p30
CN80_E1_28.91x5.09	../dataset/tile\CN80_E1\CN80_E1-28.91-5.09.jpeg	CN80_E1_28.91x5.09	p30
CN80_E1_28.92x20.87	../dataset/tile\CN80_E1\CN80_E1-28.92-20.87.jpeg	CN80_E1_28.92x20.87	p30
CN80_E1_28.92x21.87	../dataset/tile\CN80_E1\CN80_E1-28.92-21.87.jpeg	CN80_E1_28.92x21.87	p30
CN80_E1_28.93x22.89	../dataset/tile\CN80_E1\CN80_E1-28.93-22.89.jpeg	CN80_E1_28.93x22.89	p30
CN80_E1_28.95x23.88	../dataset/tile\CN80_E1\CN80_E1-28.95-23.88.jpeg	CN80_E1_28.95x23.88	p30
CN80_E1_29.88x4.07	../dataset/tile\CN80_E1\CN80_E1-29.88-4.07.jpeg	CN80_E1_29.88x4.07	p30
CN80_E1_29.89x2.04	../dataset/tile\CN80_E1\CN80_E1-29.89-2.04.jpeg	CN80_E1_29.89x2.04	p30
CN80_E1_29.89x5.07	../dataset/tile\CN80_E1\CN80_E1-29.89-5.07.jpeg	CN80_E1_29.89x5.07	p30
CN80_E1_29.9x3.06	../dataset/tile\CN80_E1\CN80_E1-29.9-3.06.jpeg	CN80_E1_29.9x3.06	p30
CN80_E1_30.95x5	../dataset/tile\CN80_E1\CN80_E1-30.95-5.jpeg	CN80_E1_30.95x5	p30
CN80_E1_30.97x2.02	../dataset/tile\CN80_E1\CN80_E1-30.97-2.02.jpeg	CN80_E1_30.97x2.02	p30
CN80_E1_30.99x3	../dataset/tile\CN80_E1\CN80_E1-30.99-3.jpeg	CN80_E1_30.99x3	p30
CN80_E1_30.99x4.06	../dataset/tile\CN80_E1\CN80_E1-30.99-4.06.jpeg	CN80_E1_30.99x4.06	p30
CN80_E1_31.84x2.01	../dataset/tile\CN80_E1\CN80_E1-31.84-2.01.jpeg	CN80_E1_31.84x2.01	p30
CN80_E1_4.93x27.9	../dataset/tile\CN80_E1\CN80_E1-4.93-27.9.jpeg	CN80_E1_4.93x27.9	p30
CN80_E1_4.93x7.97	../dataset/tile\CN80_E1\CN80_E1-4.93-7.97.jpeg	CN80_E1_4.93x7.97	p30
CN80_E1_4.94x26.91	../dataset/tile\CN80_E1\CN80_E1-4.94-26.91.jpeg	CN80_E1_4.94x26.91	p30
CN80_E1_4.94x6.02	../dataset/tile\CN80_E1\CN80_E1-4.94-6.02.jpeg	CN80_E1_4.94x6.02	p30
CN80_E1_4.95x25.89	../dataset/tile\CN80_E1\CN80_E1-4.95-25.89.jpeg	CN80_E1_4.95x25.89	p30
CN80_E1_4.95x28.88	../dataset/tile\CN80_E1\CN80_E1-4.95-28.88.jpeg	CN80_E1_4.95x28.88	p30
CN80_E1_4.95x6.96	../dataset/tile\CN80_E1\CN80_E1-4.95-6.96.jpeg	CN80_E1_4.95x6.96	p30
CN80_E1_4.97x23.9	../dataset/tile\CN80_E1\CN80_E1-4.97-23.9.jpeg	CN80_E1_4.97x23.9	p30
CN80_E1_4.97x24.87	../dataset/tile\CN80_E1\CN80_E1-4.97-24.87.jpeg	CN80_E1_4.97x24.87	p30
CN80_E1_5.9x4.05	../dataset/tile\CN80_E1\CN80_E1-5.9-4.05.jpeg	CN80_E1_5.9x4.05	p30
CN80_E1_5.91x24.88	../dataset/tile\CN80_E1\CN80_E1-5.91-24.88.jpeg	CN80_E1_5.91x24.88	p30
CN80_E1_5.91x28.85	../dataset/tile\CN80_E1\CN80_E1-5.91-28.85.jpeg	CN80_E1_5.91x28.85	p30
CN80_E1_5.91x3.04	../dataset/tile\CN80_E1\CN80_E1-5.91-3.04.jpeg	CN80_E1_5.91x3.04	p30
CN80_E1_5.91x6.99	../dataset/tile\CN80_E1\CN80_E1-5.91-6.99.jpeg	CN80_E1_5.91x6.99	p30
CN80_E1_5.92x23.87	../dataset/tile\CN80_E1\CN80_E1-5.92-23.87.jpeg	CN80_E1_5.92x23.87	p30
CN80_E1_5.92x27.89	../dataset/tile\CN80_E1\CN80_E1-5.92-27.89.jpeg	CN80_E1_5.92x27.89	p30
CN80_E1_5.93x26.9	../dataset/tile\CN80_E1\CN80_E1-5.93-26.9.jpeg	CN80_E1_5.93x26.9	p30
CN80_E1_5.93x5.02	../dataset/tile\CN80_E1\CN80_E1-5.93-5.02.jpeg	CN80_E1_5.93x5.02	p30
CN80_E1_5.93x6.03	../dataset/tile\CN80_E1\CN80_E1-5.93-6.03.jpeg	CN80_E1_5.93x6.03	p30
CN80_E1_5.93x7.97	../dataset/tile\CN80_E1\CN80_E1-5.93-7.97.jpeg	CN80_E1_5.93x7.97	p30
CN80_E1_5.96x25.89	../dataset/tile\CN80_E1\CN80_E1-5.96-25.89.jpeg	CN80_E1_5.96x25.89	p30
CN80_E1_6.9x7.99	../dataset/tile\CN80_E1\CN80_E1-6.9-7.99.jpeg	CN80_E1_6.9x7.99	p30
CN80_E1_6.91x26.88	../dataset/tile\CN80_E1\CN80_E1-6.91-26.88.jpeg	CN80_E1_6.91x26.88	p30
CN80_E1_6.91x3.04	../dataset/tile\CN80_E1\CN80_E1-6.91-3.04.jpeg	CN80_E1_6.91x3.04	p30
CN80_E1_6.91x5.02	../dataset/tile\CN80_E1\CN80_E1-6.91-5.02.jpeg	CN80_E1_6.91x5.02	p30
CN80_E1_6.92x6.99	../dataset/tile\CN80_E1\CN80_E1-6.92-6.99.jpeg	CN80_E1_6.92x6.99	p30
CN80_E1_6.93x23.89	../dataset/tile\CN80_E1\CN80_E1-6.93-23.89.jpeg	CN80_E1_6.93x23.89	p30
CN80_E1_6.93x24.9	../dataset/tile\CN80_E1\CN80_E1-6.93-24.9.jpeg	CN80_E1_6.93x24.9	p30
CN80_E1_6.93x27.88	../dataset/tile\CN80_E1\CN80_E1-6.93-27.88.jpeg	CN80_E1_6.93x27.88	p30
CN80_E1_6.93x28.89	../dataset/tile\CN80_E1\CN80_E1-6.93-28.89.jpeg	CN80_E1_6.93x28.89	p30
CN80_E1_6.93x4.06	../dataset/tile\CN80_E1\CN80_E1-6.93-4.06.jpeg	CN80_E1_6.93x4.06	p30
CN80_E1_6.94x25.87	../dataset/tile\CN80_E1\CN80_E1-6.94-25.87.jpeg	CN80_E1_6.94x25.87	p30
CN80_E1_7.91x27.85	../dataset/tile\CN80_E1\CN80_E1-7.91-27.85.jpeg	CN80_E1_7.91x27.85	p30
CN80_E1_7.92x24.89	../dataset/tile\CN80_E1\CN80_E1-7.92-24.89.jpeg	CN80_E1_7.92x24.89	p30
CN80_E1_7.92x5.96	../dataset/tile\CN80_E1\CN80_E1-7.92-5.96.jpeg	CN80_E1_7.92x5.96	p30
CN80_E1_7.92x5	../dataset/tile\CN80_E1\CN80_E1-7.92-5.jpeg	CN80_E1_7.92x5	p30
CN80_E1_7.93x28.87	../dataset/tile\CN80_E1\CN80_E1-7.93-28.87.jpeg	CN80_E1_7.93x28.87	p30
CN80_E1_7.93x3.02	../dataset/tile\CN80_E1\CN80_E1-7.93-3.02.jpeg	CN80_E1_7.93x3.02	p30
CN80_E1_7.94x25.86	../dataset/tile\CN80_E1\CN80_E1-7.94-25.86.jpeg	CN80_E1_7.94x25.86	p30
CN80_E1_7.94x26.85	../dataset/tile\CN80_E1\CN80_E1-7.94-26.85.jpeg	CN80_E1_7.94x26.85	p30
CN80_E1_7.94x6.98	../dataset/tile\CN80_E1\CN80_E1-7.94-6.98.jpeg	CN80_E1_7.94x6.98	p30
CN80_E1_7.95x23.87	../dataset/tile\CN80_E1\CN80_E1-7.95-23.87.jpeg	CN80_E1_7.95x23.87	p30
CN80_E1_7.95x4.02	../dataset/tile\CN80_E1\CN80_E1-7.95-4.02.jpeg	CN80_E1_7.95x4.02	p30
CN80_E1_7.95x7.95	../dataset/tile\CN80_E1\CN80_E1-7.95-7.95.jpeg	CN80_E1_7.95x7.95	p30
CN80_E1_8.96x5.01	../dataset/tile\CN80_E1\CN80_E1-8.96-5.01.jpeg	CN80_E1_8.96x5.01	p30
CN80_E1_8.97x3.98	../dataset/tile\CN80_E1\CN80_E1-8.97-3.98.jpeg	CN80_E1_8.97x3.98	p30
CN80_E1_8.97x6.96	../dataset/tile\CN80_E1\CN80_E1-8.97-6.96.jpeg	CN80_E1_8.97x6.96	p30
CN80_E1_8.98x23.88	../dataset/tile\CN80_E1\CN80_E1-8.98-23.88.jpeg	CN80_E1_8.98x23.88	p30
CN80_E1_8.98x24.92	../dataset/tile\CN80_E1\CN80_E1-8.98-24.92.jpeg	CN80_E1_8.98x24.92	p30
CN80_E1_8.98x26.83	../dataset/tile\CN80_E1\CN80_E1-8.98-26.83.jpeg	CN80_E1_8.98x26.83	p30
CN80_E1_8.98x27.82	../dataset/tile\CN80_E1\CN80_E1-8.98-27.82.jpeg	CN80_E1_8.98x27.82	p30
CN80_E1_8.98x7.92	../dataset/tile\CN80_E1\CN80_E1-8.98-7.92.jpeg	CN80_E1_8.98x7.92	p30
CN80_E1_8.99x25.86	../dataset/tile\CN80_E1\CN80_E1-8.99-25.86.jpeg	CN80_E1_8.99x25.86	p30
CN80_E1_8.99x3	../dataset/tile\CN80_E1\CN80_E1-8.99-3.jpeg	CN80_E1_8.99x3	p30
CN80_E1_8.99x5.99	../dataset/tile\CN80_E1\CN80_E1-8.99-5.99.jpeg	CN80_E1_8.99x5.99	p30
CN80_E1_9x22.86	../dataset/tile\CN80_E1\CN80_E1-9-22.86.jpeg	CN80_E1_9x22.86	p30
CN80_E1_9.89x26.88	../dataset/tile\CN80_E1\CN80_E1-9.89-26.88.jpeg	CN80_E1_9.89x26.88	p30
CN80_E1_9.89x6.97	../dataset/tile\CN80_E1\CN80_E1-9.89-6.97.jpeg	CN80_E1_9.89x6.97	p30
CN80_E1_9.9x27.86	../dataset/tile\CN80_E1\CN80_E1-9.9-27.86.jpeg	CN80_E1_9.9x27.86	p30
CN80_E1_9.9x3.02	../dataset/tile\CN80_E1\CN80_E1-9.9-3.02.jpeg	CN80_E1_9.9x3.02	p30
CN80_E1_9.9x4.02	../dataset/tile\CN80_E1\CN80_E1-9.9-4.02.jpeg	CN80_E1_9.9x4.02	p30
